Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
"USULAN FASILITAS KERJA BERDASARKAN ANALISIS PENGARUH BEBAN
KERJA DAN TINGKAT KEWASPADAAN TERHADAP TINGKAT KESALAHAN
OPERATOR EDITING",EKA MADA ARIFIYANTI,"NACHNUL ANSORI, ST., MT","FITRI AGUSTINA. ST., MT","ABSTRAK
Permasalahan dari keandalan manusia dapat disikapi sebagai permasalahan mengapa seseorang terkadang dapat
sukses dan gagal dalam mencapai tujuan yang diinginkan. Kegagalan dalam mencapai tujuan dapat dihubungkan
dengan  human error .  Permasalahan yang disebabkan oleh  Human Erroroperator editing. Misalnya kesalahan
dalam penulisan kalimat apabila hal itu terjadi maka akan dilakukan pengerjaan kembali sehingga membutuhkan
waktu proses yang lebih lama. Penelitian ini dilakukan dengan populasi operator editing dian  record. Responden
akan mensimulasikan  software  yang akan mengetahui nilai-nilai dari variabel beban kerja fisik, beban kerja
mental,  tingkat  ketidak  waspadaan  serta  tingkat  kesalahan.beban.  Nilai  yang  diperoleh  dari  tingkat
ketidakwaspadaan didapat dari simulasi software Psychomotor vigilance test.Nilai yang diperoleh dari tingkat
beban fisik didapat dari pemeriksaan denyut jantung dengan menggunakan  electrocardiogram (ECG). Nilai yang
diperoleh dari tingkat beban mental diperoleh dengan menggunakan kuesioner Nasa TLX. Nilai yang diperoleh
untuk mengetahui tingkat kesalahan yaitu dengan software  stoop test. Nilai yang diperoleh akan dilakukan uji
statistik yaitu uji t untuk diketahui pengaruh hubungan dari variabel independent. Hasil yang diperoleh dari uji t
yaitu terdapat hubungan yang signifikan dari variabel tingkat beban fisik, variabel tingkat beban mental, variabel
tingat ketidakwaspadaan terhadap tingkat kesalahan. Alternatif yang diberikan untuk menurunkan beban mental
serta beban fisik dan menaikan tingkat kewaspadaan yaitu dengan memberikan desain layout serta memberikan
saran  desain  sikap  yang  baik  saat  berada  di  depan  komputer.  Untuk  menunjang  desain  layout  yang
direkomendasikan maka perlu adanya penambahan fasilitas yang ergonomis yaitu meja dan kursi.
Kata Kunci: Human Error, Psychomotor vigilance test, stoop test"
"Aplikasi Pemilu Raya Fakultas Teknik Berbasis Android
(Study Kasus : Universitas Trunojoyo Madura)",Moh.kemal Rizky Habibie,"Meidya Koeshardianto,S.Si,MT.",,"Aplikasi pemilihanumum tingkat fakultas berbasis android adalah aplikasi yang dibuat untuk membantu pihak fakultas dalam peilihan Gubernur BEM dan ketua-ketua himpunan didalam lingkup fakultas.   Aplikasi ini juga membantu pihak pemilih dalam proses memilih kerena pemilih hanya cukup menyediakan handphone android untuk proses pemilihan cukup menginputkan Nama dan Password pemilih sudah dapat memilih,dengan aplikasi ini juga dapat mempermudah proses penghitungan suara dan langsung menunjukkan hasil dari penghitungan tanpa menunggu quick count.
Untuk peraturan pemilihan telah tercantum di peraturan AD/ART fakultas, dan untuk pembobotan suara sendiri seperti yang telah tercantum dalam peraturan bahwa untuk lingkup fakultas,yaitu seluruh mahasiswa teknik yang masih aktif kuliah seperti yang tercantum pada AD/ART.
	Aplikasi ini dapat mempermudah panitia pemilihan dalam menghitung jumlah suara dan panitia cukup menyediakan handphone android atau tab android,juga mempermudah pemilih dalam proses pemilihanya sendiri, pemilih cukup meminta aplikasinya dan untuk mahasiswa yang tidak mempunyai android dapat melakukan pemilihan di tempat yang disediakan.

Kata Kunci : Aplikasi Pemlihan Umum, Fakultas Teknik Berbasis Android,Universitas Trunojoyo Madura,Android.."
PENGEMBANGAN VERTICAL WIND GENERATOR DENGAN MENGGUNAKAN PENDEKATAN D4S (DESIGN FOR SUSTAINABILITY),Moh. Nursalim,"Ida Lumintu ST., MT., Ph.D.","Mu'alim ST., MT.","Listrik merupakan energi vital yang dibutuhkan manusia untuk menunjang kehidupan sehari-hari, tetapi masih banyak masyarakat yang masih belum mendapatkan aliran listrik khususnya di pedesaan dikarenakan mengalami ketarbatasan pasokan listrik. Generator tenaga angin merupakan sebagai alat alternatif yang bisa digunakan untuk memenuhi kebutahan pokok bagi masyarakat pedesaan dalam skala kecil terutama pada rumah tangga. Generator tenaga angin yang cocok untuk permasalahan listrik dipedasaan ini adalah generator angin dengan sumbu vertikal dengan pendekatan Design for Sustainability (D4S) yang dimana D4S menggunakan 3 kriteria yaitu harga bahan, gambar produk ( 2D dan 3D), serta ukuran atau dimensi produk. Pengerjaan D4S dapat dilakukan dengan 10 tahapan yaitu menciptakan tim dan perencanaan proyek, driver SWOT dan tujuan perusahaan, pengembangan D4S strategi dan desain D4S singkat, generasi ide dan seleksi, pengembangan konsep, evaluasi D4S serta implementasi dan tindak lanjut. Hasil dari penelitian yang dilakukan dari hasil perhitungan pada rata-rata kecepatan angin 0,82 m/s rata-rata daya yang dihasilkan generator sebesar 0,05 watt dengan rata-rata voltase pencapaian generator sebesar 3,3 volt.
Kata kunci: Generator angin, Turbin angin vertikal"
PENGEMBANGAN PROTOTIPE OVEN PORTABLE DENGAN PENDEKATAN DESIGN FOR SUSTAINABILITY,Ambar Pratama,"Sugeng Purwoko ST.,MT.","Mu'alim ST.,MT","Oven merupakan alat yang digunakan untuk memanggang makanan dengan cara melewatkan gas panas yang berasal dari hasil pembakaran bahan bakar atau energi listrik. Oven juga salah satu peralatan yang menjadi kebutuhan saat ini khususnya para ibu rumah tangga, hal ini di karena banyaknya jenis makanan yang ada pada saat ini. Oven yang menjadi objek studi penulis adalah oven yang memiliki distribusi temperatur didalam oven yang hampir merata. Oven juga bisa menjadi salah satu alternatif untuk membuat kue agar anak - anak kita tidak jajan sembarangan diluar. Pada penelitian kali ini akan membahas mengenai produk oven untuk pembuatan kue dan sejenisnya. Produk oven yang lama dengan bahan alluminium yang untuk tingkat suhu kematangannya sangat kurang sehingga membutuhkan waktu yang cukup lama dalam proses pemanasan. Pengujian dari modul pemanas yang dirancang dilakukan untuk melihat performa maksimal dari oven. Hasil dari uji coba produk yang berupa oven dapat disimpulkan oven baru mempunyai tingkat efisien lebih tinggi dibandingkan dengan produk yang lama karena yang pertama tingkat kebocoran suhu lebih rendah Â±45Â°C, yang kedua tingkat kematangan kue merata dan yang ketiga waktu dalam pembakaran oven suhunya lebih cepat panas yaitu dalam waktu Â±10 menit mencapai 220Â°C di bandingkan produk lama yang membutuhkan waktu Â±15 menit untuk mencapai suhu 220Â°C. Di samping itu panas yang ada di dalam oven setelah kompor api dimatikan masih cukup lama terjaga panasnya dibanding produk lama yang cepat dingin setelah kompor api dimatikan karena tidak mempunyai dua lapisan."
PENENTUAN JUMLAH SUMBU YANG BAIK PADA SEMI HIDROPONIK SISTEM SUMBU MENGGUNAKAN DESAIN EKSPERIMEN RANCANG ACAK LENGKAP (RAL),RESBANDI TRI YAHYA,"Samsul Amar, S.T., M.S.c","Ernaning W, S.T., M.T","?????Pengaturan penyiraman terhadap tanaman sangat penting untuk mengurangi penggunaan air dan tanaman menkonsumsi air sesuai kebutuhan. Hidroponik adalah sebagai metode pertanian yang tidak menggunakan tanah, menggunakan air dan / atau bahan berpori pada media pertumbuhannya. Metode ini menggunakan sumbu untuk memberikan air dari penampungan air tanpa menggunakan pompa dan tekanan. Bayam, Jagung, dan Tomat adalah tanaman yang akan dilakukan penelitian untuk mengetahui efektifitas semi hidroponik sistem sumbu dengan metode RAL dua faktor jumlah sumbu untuk tinggi tanaman dan jenis tanaman untuk konsumsi air. Ketiga kategori tanaman diatas akan dilakukan penelitian untuk mengetahui efektifitas semi hidroponik sistem sumbu dan Berapa jumlah sumbu yang paling baik untuk menyerap air pada semi hidropinik sistem sumbu.
????Berdasarkan langkah-langkah penelitian tedapat alat dan bahan yang digunakan adalah sebagai berikut : (1) Tanah yang sudah dicampur dengan pupuk kandang; (2) Tanaman ( Bayam, Jagung, dan Tomat ); (3) Sumbu; (4) Tempat penampungan air /gelas uku; (5) Kayu (5) Pot;  (6) Plastik : digunakan untuk atap agar tidak terkena sinar matahari dan air hujan langsung; (7) Sekop / Cangkul; (8) Penggaris : digunakan untuk mengukur pertumbuhan tinggi tanaman. Hasil penelitian Pengamatan pada ketiga jenis tumbuhan terdapat perbedaan konsumsi air yang cukup signifikan yaitu konsumsi air tertinggi terdapat pada tanaman bayam pada sumbu sebanyak 6 dan untuk pertumbuhan tinggi tanaman pertumbuhan paling signifikan terdapat pada tanaman bayam dengan sumbu 4. Jadi Semi hidroponik sistem sumbu efektik karena tanaman mengalami pertumbuhan. Uji Lanjut LSD didapatkan bahwa hasil Konsumsi Air sumbu 2, sumbu 4, dan sumbu 6 menunjukan tidak berbeda signifikan untuk tanaman Jagung dan Tomat sedangkan untuk tanaman Bayam berbeda signifikan. Sedangkan Pertumbuhan Tinggi tanaman Bayam dan Jagung tidak berbeda signifikan sedangkan untuk tanaman Tomat pada sumbu 6 terlihat berbeda signifikan dengan sumbu 2."
"REDESIGN ALAT PEMOTONG STYROFOAM
DENGAN PENDEKATAN REVERSE ENGINEERING DAN VALUE ENGINEERING",DEVRIANSYAH KURNIAWAN,MU'ALIM S.T. M.T.,RETNO INDRIARTININGTIAS S.T. M.T.,"REDESIGN ALAT PEMOTONG STYROFOAM
DENGAN PENDEKATAN REVERSE ENGINEERING DAN VALUE ENGINEERING

ABSTRAK
Pemotong styrofoam dulunya menggunakan cuter atau silet akan tetapi hasil pemotongan yang kurang rapi dan juga sulit jika memotong atau membuat huruf-huruf timbul, ukiran atau bentuk-bentuk tertentu. Seiring dengan berkembangnya teknologi dan kebutuhan alat potong styrofoam yang diinginkan maka munculah produk buatan cina yang sudah beredar di pasaran. Pemotong styrofoam ini memanfaatkan energi panas yang dihasilkan dari kawat Nikel-Krom yang dialiri tegangan, Akan tetapi produk itu juga masih banyak memiliki kekurangan, dikarenakan masih menggunakan tenaga batrai yang sangat boros, dan kawat pemotong yang mudah putus, tombol on yang harus di tekan terus menerus mengakibatkan terjadi kelelahan pada penggunanya, dari permasalahan tersebut peneliti melakukan redesign ulang alat potong terdahulu dengan mengambil judul redisign alat pemotong styrofoam dengan pendekatan revers engineering dan value engineering. Dari penelitian tersebut diperoeh fungsi produk baru lebih kecil waktu pengerjaannya yaitu 01,58 jam dan menghasilkan 5 kali hasil potongan, dibanding produk terdahulu hanya menghasilkan 1 potongan dengan waktu 02.16. Dari segi daya listrik produk baru lebih hemat dengan Rp12 dalam mengerjakan 1 produk papan ucapan. dibandingkan dengan produk sebeumnya yang menghabiskan Rp3000 untuk menghasilkan 1 produk.
Dari segi Perbandingan fungsi dan biaya yang di dapat produk terdahulu menghasilkan nilai 40,6 nilai ini lebih tinggi dibandingkan produk baru 0,15 yang artinya produk baru lebih meminimalisir dari segi waktu, biaya produksi dan menghilangkan kerugian yang diakibatkan loss profit
Kata kunci : Value enginnering, Revers enginnering"
"PENGELOMPOKAN TINGKAT KESEHATAN MASYARAKAT JAWA TIMUR MENGGUNAKAN SOM DENGAN CLUSTER VALIDATION IDB DAN I-DUNN
",Adam Muhammad,"Bain Khusnul Khotima,S.T, M.Kom","Budi Dwi Satoto, S.T, M.Kom","Data hasil RISKEDAS JAWA TIMUR merupakan data yang tidak teratur. Hal ini disebabkan karena data tersebut merupakan data riil atau data nyata yang didapatkan dari dari survei lapangan secara langsung. Salah satu metode pengolahan data dengan cara pengelompokan (Clustering) adalah SOM (Self Organizing Map). Sedangkan penggunaan Cluster validation dalam SOM bertujuan untuk meningkatkan akurasi hasil analisa data. Cluster Validation terdiri dari IDB dan Index DUNN. Pada proses awal akan dilakukan Clustering menggunakan SOM untuk menentukan Cluster-Cluster dari data yang sudah ada. Kemudian dilanjutkan dengan proses Validation menggunakan IDB dan I-DUNN. Hasil yang dicapai pada penelitian ini sesuai uji coba yang telah dilakukan pada modul data penyakit mata dengan record kabupaten di jawa timur  di hasilkan nilai IDB dengan hasil nilai terbesar ada pada tiga Cluster dengan nilai 32,8657368103193, dan nilai terkecil ada pada sepuluh cluster dengan Nilai 9,85972104309579  sedangkan nilai I-DUNN nya dengan hasil terkecil ada pada tiga Cluster dengan nilai 0,666666666666667 dan nilai terbesar terdapat pada sepuluh Cluster dengan nilai 0,9. Sehingga dapat disimpulkan bahwa metode Cluster SOM mengunakan Cluster validation IDB semakin kecil nilai yang dihasilkan maka semakin bagus hasilnya sedangkan mengunakan Cluster validation I-DUNN semakin besar nilai yang dihasilkan maka semakin bagus hasil yang di dapat."
Sistem Pendukung Keputusan Pemilihan Perumahan Menggunakan Metode Fuzzy Multi Criteria Decision Making (Studi kasus:bangkalan),Nur Dina Kamalia,"Wahyudi Setiawan S.Kom, M.Kom","Wahyudi Setiawan S.Kom, M.Kom","Abstrak
Penentuan perumahan yang harus dipilih oleh konsumen dipengaruhi banyak faktor, diantaranya tipe, harga, lokasi, desain rumah, uang muka, ansuran, jarak. Sistem kredit kepemilikan rumah merupakan sistem yang memudahkan masyarakat maupun developer. Konsumen dapat dengan mudah memesan rumah dan melihat tipe rumah secara online sedangkan developer dapat menginputkan tipe âtipe rumah dan spesifikasi rumah. Untuk itu dibutuhkan sebuah sistem yang dapat memenuhi kebutuhan masyarakat dalam memperoleh kredit kepemilikan rumah dengan dana yang sesuai dengan kemampuan konsumen. Penyediaan sistem informasi perumahan secara online yang berbasis sistem pendukung keputusan dimungkinkan konsumen bisa memilih tipe rumah sesuai dengan dana yang tersedia serta visualisasi model jenis rumah. Sistem ini dibuat dengan menggunakan algoritma Fuzzy Multi Criteria Decision Making. Metode ini membantu mengambil keputusan pada situasi dimana terdapat banyak alternatif keputusan dengan beberapa kriteria. Tulisan ini mengaplikasikan metode Fuzzy Multi Criteria Decision Making untuk menentukan pemilihan perumahan di Bangkalan.
Kata Kunci: SPK (Sistem Pendukung Keputusan), Perumahan, FMCDM (Fuzzy Multi Criteria Decision Making)"
Sistem Pakar Untuk Mendiagnosa Penyakit Mata Berbasis Web Mengguakan Metode Naive Bayes(studi kasus: RS Mata Undaan Surabaya),sofi ratnasari,"Wahyudi Setiawan S.Kom, M.Kom","Wahyudi Setiawan S.Kom, M.Kom","ABSTRAK
Perkembangan dunia medis terkini banyak menggunakan komputer untuk membantu diagnosis maupun pencegahan dan pengobatan suatu penyakit. Sistem pakar merupakan suatu bagian metode ilmu-ilmu  artificial intelligence. Pada Tugas Akhir ini dibuat suatu program aplikasi diagnosa penyakit mata pada manusia yang menirukan proses penalaran pakar. Mata merupakan salah satu panca indra yang sangat penting dalam kehidupan manusia untuk melihat. Jika mata mengalami gangguan atau penyakit mata, maka akan berakibat sangat fatal bagi kehidupan manusia. Penyakit mata adalah penyakit yang berbahaya , bila tidak segera didiagnosa dan diobati maka dapat menimbulkan kebutaan pada mata ataupun timbul penyakit lainnya. Aplikasi sistem pakar ini menghasilkan keluaran berupa penyakit mata yang diderita berdasarkan gejala yang dirasakan oleh user pada mata dan solusinya dengan menggunakan metode NaÃ¯ve Bayes Classifier. NaÃ¯ve Bayes Classifier merupakan salah satu metode machine learning yang menggunakan  perhitungan probabilitas dari setiap gejala yang muncul pada setiap class, kemudian dibandingkan, nilai terbesar merupakan hasil akhirnya. Hasil dari penelitian ini adalah sistem pakar yang dibangun dengan metode NaÃ¯ve Bayes Classifier dapat menentukan diagnosa penyakit mata pasien dengan tepat dari beberapa gejala yang diinputkan pasien. Dengan menggunakan 30 data pasien penyakit mata, diagnosa yang dihasilkan sistem dengan data awal asli dari rumah sakit.
Kata kunci : Sistem pakar, penyakit mata, NaÃ¯ve Bayes Classifier."
Sistem Pendukung Keputusan Penerimaan Siswa Baru Menggunakan Metode AHP (Analytical Hiearchy Process),Lucia Dwi Agustin Nilla Indra Sakti,"Fika Hastarita Rachman S.Kom., M.Eng","Andharini Dwi Cahyani S.Kom., M.Kom","Kegiatan seleksi penerimaan siswa baru di Madrasah Ibtidaiyah Negeri Model Kamal Bangkalan yang telah berjalan masih memiliki kendala, yaitu lamanya proses memilih peserta dari hasil dipertimbangkan menjadi hasil diterima. Proses ini membutuhkan ketelitian dan kehati-hatian sebab peserta yang dipilih harus berkualitas sehingga memenuhi jumlah daya tampung yang ada. Proses ini merupakan penilaian subyektif dari seorang koordinator seleksi penerimaan siswa baru yang dilakukan secara manual. Oleh karena itu untuk memudahkan dan membantu pihak sekolah dalam kegiatan pemilihan penerimaan siswa baru didalam memilih peserta dari hasil dipertimbangkan menjadi diterima sebagai siswa maka perlu dibangun sebuah sistem pendukung keputusan yang terkomputerisasi yang dapat membantu proses penerimaan siswa dengan AHP. Analytical Hirearchy Process (AHP) digunakan untuk perhitungan bobot kriteria. Dari bobot kriteria yang sudah didapat maka dilakukan proses pengurutan peserta yang akan menentukan alternatif yang optimal, yaitu peserta terbaik. Dari hasil analisa diperoleh data perangkingan yang dihasilkan dari tiga kriteria yaitu tes, jarak rumah kesekolah dan usia
Kata kunci: Penerimaan siswa baru, SPK, AHP"
"SISTEM INFORMASI PEMETAAN PEMILIHAN AREA LAHAN UNTUK PENGELOLAAN SUMBER AIR DENGAN METODE ELECTRE
(Studi Kasus : Kabupaten Sumenep)",MIFTAHOL ARIFIN,"MULAâAB, S.Si, M.Kom","FIRMAN FARID MUHSONI, S.Pi. M.Sc","ABSTRAK

Kondisi keterbatasan sumber daya air di Kabupaten Sumenep saat ini dapat menjadi kendala dalam pengembangan wilayah yang nantinya berdampak pada perubahan guna lahan, peningkatan kebutuhan air sangat meningkat dikarenakan perkembangan penduduk dan kegiatan sosial-ekonomi yang bermunculan dan berkembang pesat pasca selesainya proyek pembangunan jembatan Suramadu. Atas dasar tersebut, maka penelitian ini perlu dilakukan untuk memilih lahan yang ada sehingga nantinya dapat digunakan untuk pengelolaan sumber air. Penelitian ini bertujuan untuk menentukan pemilihan area paling sesuai untuk menetapkan lahan guna kepentingan pengelolaan sumber air. Metode yang digunakan dalam penelitian ini adalah metode electre, yang mana metode ini merupakan metode pengambilan keputusan yang nantinya di implementasikan kedalam sistem informasi berbasis website sehingga dalam penggunaannya menjadi lebih mudah untuk dipahami dan di operasikan. Dalam sistem informasi tersebut dilengkapi penggunaan google maps sehingga dapat lebih mempermudah user dalam mendapatkan info dari sebuah area lahan yang diseleksi.

Kata Kunci : electre, lahan, sistem informasi, google maps."
IMPLEMENTASI PENJADWALAN MATA PELAJARAN SMPN 1 AMBUNTEN,Fravasta F. Pratama,"Sigit Susanto Putro,S.Kom.,M.Kom.","Bain Khusnul Khotimah,S.T.,M.Kom.","Implementasi Penjadwalan Mata Pelajaran SMPN 1 Ambunten dibuat untuk membantu pihak sekolah bersangkutan yaitu asisten kurikulum. Asisten kurikulum dapat mengubah data dari penjadwalan mata pelajaran per-tahun, serta membuat jadwal ulangan maupun jadwal yang lain.Karena di dalam sekolah SMPN 1 Ambunten ini memungkinkan Asisten Kurikulum untuk mengubah data dari  penjadwalan, tapi masih menggunakan tabel di word ataupun excel. Sedangkan tujuan dari  Penelitian ini adalah untuk membantu mempercepat Asisten Kurikulum dalam melakukan penjadwalan. 
Penelitian ini bertujuan untuk membantu memperlancar tugas dari asisten kurikulum SMPN 1 Ambunten untuk menggerjakan penjadwalan. Dalam menyusun penjadwalan asisten kurikulum menggunakan aplikasi aSc TimeTables, karena sebelumnya masih manual menggunakan Microsoft word dan microsoft excel. Dan dalam penelitian ini menggunakan data penerapan kurikulum yang dipakai pada tahun 2013 - 2014.
Agar tujuan ini berhasil sesuai yang diinginkan maka digunakan aplikasi aSc TimeTables. Aplikasi aSc TimeTables memiliki kelebihan mudah dan cepat dalam memasukkan data semua mata pelajaran, kelas, ruang kelas, guru dan kontrak guru. aSc TimeTables memperhatikan beban kerja pengajar, serta memudahkan verifikasi jadwal. Dalam penerapan aplikasi banyak sekali keuntungan, seperti gampang menggenerate tinggal menunggu proses loading dari generate.

Kata Kunci : Implementasi, Penjadwalan, Asc Time Table"
Sistem Rekomendasi Produk Pada M-Commerce Berbasis Android Menggunakan Metode Collaborative Filtering,Adytiya Dwi Putra,"Bain Khusnul Khotimah, ST., M.Kom.","Muhammad Fuad, S.Kom., MT.","ABSTRAK
Pertumbuhan bisnis di Indonesia terutama bisnis online semakin berkembang pesat. Perkembangan ini dikarenakan semakin mudahnya cara akses internet oleh masyarakat. Dari tahun ke tahun jumlah pengguna internet di Indonesia semakin meningkat, peningkatan ini merupakan peluang untuk berbisnis. Dalam penelitian ini saya membuat aplikasi m-commerce berbasis android, dimana dalam aplikasi ini bisa digunakan untuk melakukan pemesanan aksesoris handphone ataupun memberikan informasi produk secara update dan juga memberikan rekomendasi produk  yang tepat pada konsumen yang diterapkan pada perangkat mobile phone karena dengan aplikasi ini konsumen tidak lagi harus membuka website untuk melihat ketersediaan barang di Cullen Store, aplikasi ini dapat memberikan kemudahan bagi konsumen dalam mengakses kebutuhan informasi tersebut dalam melakukan pemesanan aksesoris handphone ataupun yang sekedar ingin mengetahui ketersediaan stok dan juga untuk memperoleh informasi produk terbaru, aplikasi ini juga dapat membantu meningkatkan penjualan.
Aplikasi yang telah dibuat telah dilakukan uji coba dengan diambil beberapa data yaitu dengan 20 data konsumen dan 20 data produk melalui proses perhitungan metode collaborative filtering, dimana dalam uji coba ini berhasil memberikan rekomendasi produk Sandisk 64gb kepada pengguna yang bernama Afrizar.

Kata kunci : Aksesoris handphone,  m-commerce, android, collaborative filtering"
"IMPLEMENTASI PERAMALAN PENJUALAN MENGGUNAKAN 
METODE EXPONENTIAL SMOOTHING 
(Studi Kasus : Penjualan Produk Aksesoris Olahraga di Toko Trend Soccer) ",Zayn Firdausi,"Achmad Jauhari, S.T., M.Kom","Sigit Susanto Putro, S.Kom., M.Kom","Peramalan memperkirakan sesuatu pada waktu-waktu yang akan datang berdasarkan data masa 
lampau yang dianalisa secara ilmiah, khususnya menggunakan metode perhitungan statistika. 
Semakin banyak jumlah permintaan konsumen terhadap aksesoris olahraga maka secara 
otomatis penjualanya akan meningkat pula.hal ini akan tergantung terhadap banyaknya  
penjualan aksesoris olahraga kepada konsumen.  Selama ini  toko trend soccer  tidak pernah 
menggunakan sistem peramalan.  Tidak adanya peramalan mengakibatkan kurang efisien 
terhadap keuntungan toko tersebut karena tidak ada peramalan penjualan tiap mingguannya. 
oleh karena itu dibutuhkan implementasi peramalan yang bisa memprediksi jumlah penjualan 
tiap minggunya agar mengetahui besarnya penjualan tiap minggunya Maka untuk meramalkan 
menggunakan metode Single Exponential Smoothing, dan Double Exponential Smoothing dan 
diterapkan pada tools winqsb, Program WinQSB merupakan program komputer yang dapat 
melakukan peramalan berkaitan dengan data-data berpola konstan, trend atau musiman, dengan 
masing-masing dari pola data tersebut menggunakan metode dalam WinQSB yang berbeda. 
Dalam pola-pola tersebut juga terdapat metode-metode yang ada.Dari hasil peramalan yang 
dilakukan  menggunakan metode  single exponential smoothing dan double exponential 
smoothing  dengan nilai  ? 0,1,  ? 0,3, ? 0,5.  diperoleh hasil terbaik dengan nilai MSE dan 
MAPE terkecil dengan nilai rata-rata MSE sebesar 62.64  dan nilai MAPE sebesar 12.64%. 
Kata kunci : Peramalan,  Single Exponential Smooting (SES), Double Exponential Smooting 
(DES), Mean Square Error (MSE)."
IMPLEMENTASI PENJADWALAN MATA PELAJARAN (Studi Kasus: SMPN 1 Konang),FIRMAN HIDAYAT,"SIGIT SUSANTO PUTRO,S.Kom.,M.Kom.","BAIN KHUSNUL KHOTIMAH,S.T.,M.Kom.","Penjadwalan mata pelajaran di sekolah merupakan masalah yang kompleks. Dalam permasalahan tersebut terdapat beberapa variabel yang harus dipertimbangkan supaya mendapatkan jadwal yang baik. Di dalam penyusunan jadwal mata pelajaran ini terdapat sangat banyak hal yang perlu diperhatikan, serta banyak kemungkinan-kemungkinan yang selayaknya dicoba untuk menemukan penjadwalan yang terbaik. Implementasi Penjadwalan Mata Pelajaran Studi Kasus SMPN 1 Konang dibuat untuk membantu pihak sekolah dalam membuat jadwal mata pelajaran. Dalam membuat jadwal pelajaran banyak hal yang menjadi pertimbangan, misalnya mata pelajaran, hari, guru, serta waktu. Pembuatan jadwal mata pelajaran di SMPN 1 Konang masih dilakukan secara manual. Tugas Akhir ini bertujuan untuk mempermudah dan mempercepat proses membuat jadwal mata pelajaran. Untuk mencapai tujuan tersebut maka digunakan aplikasi FET time tables. Aplikasi FET time tables mempermudah dalam memasukkan data mata pelajaran, guru, ruang kelas, waktu belajar serta batasan-batasan. Dari hasil penelitian yang dilakukan menggunakan aplikasi FET Time Tables mampu membuat jadwal dengan cepat serta mampu membuat beberapa jadwal sekaligus . Semoga adanya aplikasi FET Time Tables ini diharapkan bisa mempermudah dan mempercepat dalam pembuatan penjadwalan mata pelajaran di sekolah."
"Implementasi Peramalan Penjualan Produk STARFOOD Menggunakan Metode Moving Average (MA) Dan Single Exponential Smoothing (SES) (Studi Kasus : CV. Wira Usaha Bugar, Kec. Tragah, Kab. Bangkalan)",Uhdi Sony Pudiardana,"Achmad Jauhari, S.T., M.Kom.","Sigit Susanto Putro, S.Kom., M.Kom.","Salah satu komponen penting yang menunjang operasi perusahaan adalah kegiatan memprediksi jumlah penjualan untuk periode selanjutnya. Dengan prediksi yang baik dapat dibuat rencana kerja perusahaan lebih efektif dan efisien. Sehingga dapat meminimalisir terjadinya kelebihan stok barang di gudang yang menyebabkan kerugian bagi perusahaan. Penelitian ini mengidentifikasi pola data penjualan produk STARFOOD di C.V. Wira Usaha Bugar Kecamatan Tragah, Kabupaten Bangkalan. agar mendapatkan metode peramalan yang terbaik berdasarkan pola data penjualan penjualan produk. Oleh karena itu dibutuhkan implementasi yang dapat memprediksi jumlah penjualan tiap minggunya agar perusahaan mendapatkan keuntungan yang maksimal. Dari beberapa hasil tes perhitungan peramalan yang telah dilakukan dapat diambil kesimpulan bahwa proses peramalan penjualan produk STARFOOD menggunakan metodeMoving Average (MA) lebih baik dari pada metode Single Exponential Smoothing (SES), dengan rata-rata bergerak m=12 dan menghasilkan MAPE 12,51%  dari semua produk untukstudikasusdi CV. Wira Usaha Bugar Kec. Tragah, Kab. Bangkalan."
"Sistem  Informasi Perekomendasian Beasiswa Bagi Siswa Berprestasi Menggunakan Metode Simple Additive Weighting
(studi kasus: SMP Yayasan Pendidikan Sunan Dalem)
",M Agus Firmansyah,"Moch. Kautsar Sophan, S.Kom.,M.MT.","Rika Yunitarini, ST., MT","ABSTRAK

Pemilihan perekomendasian beasiswa untuk siswa terbaik secara periodik menjadi suatu proses yang lama dan rumit. Keputusan seseorang salah karena proses perekomendasian beasiswa berdasarkan nilai raport, dan nilai non akademis. Oleh karena itu diperlukan sistem pendukung keputusan untuk proses pemilihan beasiswa. Sistem pendukung keputusan ini, dapat menentukan nilai perhitungan terhadap semua kriteria. Sistem ini menggunakan metode Simple Additive Weighting (SAW). Metode ini merupakan suatu metode yang mencari penjumlahan terbobot. Pada studi kasus di sekolah Yayasan Sunan Dalem Desa Gumeno ini, terdapat 5 (lima) kriteria yaitu nilai raport, nilai Bahasa Inggris, Prestasi luar sekolah, Ekstrakulikuler dan Kepribadian, setiap alternatif (beasiswa murid) memiliki kriteria-kriteria tersebut. 
Dalam hal menentukan Perekomendasian beasiswa terbaik dilakukan dengan cara menjumlahan bobot dari rating kinerja pada setiap alternatif untuk semua atribut. Nilai yang lebih besar akan mengindikasikan bahwa alternatif lebih terpilih. Pada kasus tersebut metode SAW ini dapat menentukan siswa terbaik berdasarkan nilai tertinggi. Dengan demikian sistem ini mampu menangani perhitungan penilaian penerimaan beasiswa terbaik di SMP Yayasan Pendidikan Sunan Dalem Desa Gumeno sehingga (misal manajer guru/kepala sekolah) tidak mengalami kesulitan dalam menentukan siapa saja siswa yang direkomdasikan oleh sistem untuk mendapatkan beasiswa dengan nilai yang terbaik.

Kata kunci: Beasiswa, Simple Additive Weigting, Rapot, Prestasi"
